Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
26984072,12/25/2013 11:59:08 PM,12/26/2013 01:15:00 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11234,952 EAST 58 STREET,EAST 58 STREET,AVENUE H,AVENUE I,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/26/2013 07:59:08 AM,12/26/2013 01:15:00 AM,18 BROOKLYN,BROOKLYN,1006307,169492,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63186547963468,-73.92053369143751,"(40.63186547963468, -73.92053369143751)"
26996604,12/25/2013 11:58:40 PM,,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,,10032,900 RIVERSIDE DRIVE,RIVERSIDE DRIVE,FT WASHINGTON AVENUE,RIVERSIDE DRIVE,,,ADDRESS,NEW YORK,,N/A,Open,,,12 MANHATTAN,MANHATTAN,999173,244565,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.837937102587674,-73.94606932829015,"(40.837937102587674, -73.94606932829015)"
26984507,12/25/2013 11:56:23 PM,12/26/2013 01:09:44 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11203,1376 BROOKLYN AVENUE,BROOKLYN AVENUE,NEWKIRK AVENUE,FOSTER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/26/2013 07:56:23 AM,12/26/2013 01:09:45 AM,17 BROOKLYN,BROOKLYN,1000185,172309,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6396106719704,-73.9425831925063,"(40.6396106719704, -73.9425831925063)"
26984091,12/25/2013 11:56:22 PM,12/26/2013 01:05:04 AM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11428,94-52 225 STREET,225 STREET,CITY LIMIT,95 AVENUE,,,ADDRESS,QUEENS VILLAGE,,Precinct,Closed,12/26/2013 07:56:22 AM,12/26/2013 01:05:04 AM,13 QUEENS,QUEENS,1059098,202163,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72125081408896,-73.72997778071453,"(40.72125081408896, -73.72997778071453)"
26985142,12/25/2013 11:55:00 PM,12/26/2013 02:30:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11368,33-19 97 STREET,97 STREET,NORTHERN BOULEVARD,34 AVENUE,,,ADDRESS,Corona,,N/A,Closed,,12/26/2013 02:30:00 AM,03 QUEENS,QUEENS,1019927,214931,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.75654046550013,-73.87122335017544,"(40.75654046550013, -73.87122335017544)"
26985527,12/25/2013 11:54:00 PM,12/30/2013 07:27:00 AM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10034,125 SEAMAN AVENUE,SEAMAN AVENUE,PAYSON AVENUE,WEST 207 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,12/30/2013 07:27:00 AM,12 MANHATTAN,MANHATTAN,1005518,255812,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.86879375820452,-73.92310327414219,"(40.86879375820452, -73.92310327414219)"
26983626,12/25/2013 11:53:00 PM,12/27/2013 09:17:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11105,22-27 35 STREET,35 STREET,35 ST,23 AVE,35 STREET,23 AVENUE,INTERSECTION,Astoria,,N/A,Closed,,12/27/2013 09:17:00 AM,Unspecified QUEENS,QUEENS,1008880,220947,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.77309049734575,-73.911075579805,"(40.77309049734575, -73.911075579805)"
26986409,12/25/2013 11:52:24 PM,,DOT,Department of Transportation,Street Sign - Missing,St Name - Attached to Pole,Street,11362,,,,,NORTHERN BOULEVARD,ZION STREET,INTERSECTION,LITTLE NECK,,N/A,Assigned,01/24/2014 11:52:24 PM,,11 QUEENS,QUEENS,1056617,218959,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76737207072669,-73.73874748649955,"(40.76737207072669, -73.73874748649955)"
26986407,12/25/2013 11:52:19 PM,12/26/2013 02:49:04 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11416,77-21 101 AVENUE,101 AVENUE,77 STREET,78 STREET,,,ADDRESS,OZONE PARK,,Precinct,Closed,12/26/2013 07:52:19 AM,12/26/2013 02:49:04 AM,09 QUEENS,QUEENS,1022994,187125,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68020687207423,-73.86031303597203,"(40.68020687207423, -73.86031303597203)"
26984478,12/25/2013 11:50:46 PM,03/25/2014 03:11:46 PM,DOT,Department of Transportation,Street Sign - Missing,St Name - Attached to Pole,Street,11362,247-30 NORTHERN BOULEVARD,NORTHERN BOULEVARD,ALAMEDA AVENUE,248 STREET,,,ADDRESS,LITTLE NECK,,N/A,Closed,01/24/2014 11:50:46 PM,03/25/2014 03:11:46 PM,11 QUEENS,QUEENS,1056437,218749,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76679714934749,-73.73939955706784,"(40.76679714934749, -73.73939955706784)"
