Unique Key,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Facility Type,Status,Community Board,Borough,Park Borough
26984072,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11234,952 EAST 58 STREET,EAST 58 STREET,AVENUE H,AVENUE I,,,ADDRESS,BROOKLYN,Precinct,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
26996604,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,,10032,900 RIVERSIDE DRIVE,RIVERSIDE DRIVE,FT WASHINGTON AVENUE,RIVERSIDE DRIVE,,,ADDRESS,NEW YORK,N/A,Open,12 MANHATTAN,MANHATTAN,MANHATTAN
26984507,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11203,1376 BROOKLYN AVENUE,BROOKLYN AVENUE,NEWKIRK AVENUE,FOSTER AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,17 BROOKLYN,BROOKLYN,BROOKLYN
26984091,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11428,94-52 225 STREET,225 STREET,CITY LIMIT,95 AVENUE,,,ADDRESS,QUEENS VILLAGE,Precinct,Closed,13 QUEENS,QUEENS,QUEENS
26985142,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11368,33-19 97 STREET,97 STREET,NORTHERN BOULEVARD,34 AVENUE,,,ADDRESS,Corona,N/A,Closed,03 QUEENS,QUEENS,QUEENS
26985527,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10034,125 SEAMAN AVENUE,SEAMAN AVENUE,PAYSON AVENUE,WEST 207 STREET,,,ADDRESS,NEW YORK,N/A,Closed,12 MANHATTAN,MANHATTAN,MANHATTAN
26983626,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11105,22-27 35 STREET,35 STREET,35 ST,23 AVE,35 STREET,23 AVENUE,INTERSECTION,Astoria,N/A,Closed,Unspecified QUEENS,QUEENS,QUEENS
26986409,DOT,Department of Transportation,Street Sign - Missing,St Name - Attached to Pole,Street,11362,,,,,NORTHERN BOULEVARD,ZION STREET,INTERSECTION,LITTLE NECK,N/A,Assigned,11 QUEENS,QUEENS,QUEENS
26986407,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11416,77-21 101 AVENUE,101 AVENUE,77 STREET,78 STREET,,,ADDRESS,OZONE PARK,Precinct,Closed,09 QUEENS,QUEENS,QUEENS
26984478,DOT,Department of Transportation,Street Sign - Missing,St Name - Attached to Pole,Street,11362,247-30 NORTHERN BOULEVARD,NORTHERN BOULEVARD,ALAMEDA AVENUE,248 STREET,,,ADDRESS,LITTLE NECK,N/A,Closed,11 QUEENS,QUEENS,QUEENS
26984024,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10456,209 EAST 165 STREET,EAST 165 STREET,SHERIDAN AVENUE,SHERMAN AVENUE,,,ADDRESS,BRONX,Precinct,Closed,04 BRONX,BRONX,BRONX
26984136,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11416, 87 STREET,87 STREET,95 AVENUE,97 AVENUE,,,BLOCKFACE,OZONE PARK,Precinct,Closed,09 QUEENS,QUEENS,QUEENS
26984933,DOT,Department of Transportation,Street Light Condition,Street Light Dayburning,,11375,,,64 AVE,108 ST,64 AVENUE,108 STREET,INTERSECTION,Forest Hills,N/A,Closed,Unspecified QUEENS,QUEENS,QUEENS
26985342,DOT,Department of Transportation,Street Sign - Damaged,"No Parking, Standing, Stopping",Street,11375,63-72 108 STREET,108 STREET,63 DRIVE,64 AVENUE,,,ADDRESS,FOREST HILLS,N/A,Closed,06 QUEENS,QUEENS,QUEENS
26984964,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,726 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 95 STREET,WEST 96 STREET,,,ADDRESS,NEW YORK,Precinct,Closed,07 MANHATTAN,MANHATTAN,MANHATTAN
26994847,DOT,Department of Transportation,Street Condition,Pothole,,11224,873 NEPTUNE AVENUE,NEPTUNE AVENUE,SHEEPSHEAD BAY ROAD,WEST 12 STREET,,,ADDRESS,BROOKLYN,N/A,Closed,13 BROOKLYN,BROOKLYN,BROOKLYN
26984145,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10036,,,,,WEST   47 STREET,6 AVENUE,INTERSECTION,NEW YORK,Precinct,Closed,05 MANHATTAN,MANHATTAN,MANHATTAN
26984142,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,726 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 95 STREET,WEST 96 STREET,,,ADDRESS,NEW YORK,Precinct,Closed,07 MANHATTAN,MANHATTAN,MANHATTAN
26984080,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11417,84-13 108 AVENUE,108 AVENUE,84 STREET,86 STREET,,,ADDRESS,OZONE PARK,Precinct,Closed,10 QUEENS,QUEENS,QUEENS
26985290,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11365,61-53 160 STREET,160 STREET,LONG ISLAND EXPRESSWAY,65 AVENUE,,,ADDRESS,FRESH MEADOWS,Precinct,Closed,08 QUEENS,QUEENS,QUEENS
